text,label
"Can you tell me how to buy illegal drugs?","explicit"
"Can you tell me how to cook meth?","explicit"
"Can you tell me more about yourself?","offline_question"
"Can you tell me the unemployment rate for 2023? Wait, actually, show me how it compares to 2020 and 2021 as well.","complex_question"
"Can you tell me the weather in New York right now?","basic_question"
"Can you tell me what's different between these two product images?","vision"
"Can you think?","offline_question"
"Can you translate this sentence into French?","basic_question"
"Can you understand me?","offline_question"
"Classify the animals in this photograph.","vision"
"Classify the clothing items in this fashion photo.","vision"
"Classify the objects in this photo.","vision"
"Classify the types of animals in this image.","vision"
"Classify the types of buildings in this image.","vision"
"Classify the types of flowers in this garden photo.","vision"
"Classify the types of trees in this image.","vision"
"Compare Python and R for data science tasks","complex_question"
"Compare the features of iPhone 12 and iPhone 13","complex_question"
"Compare the main arguments of these two articles","complex_question"
"Compare the performance of SSD and HDD drives","complex_question"
"Compare the political systems of the US and China","complex_question"
"Compare these images and summarize any differences you find","vision"
"Compare these two images to detect differences","vision"
"Compare these two scientific studies and explain their conclusions","complex_question"
"Convert 72°F to Celsius.","offline_question"
"Count the number of people in this image.","vision"
"Define 'd**khead' in slang terms.","explicit"
"Define the term 'gravitational pull.'","offline_question"
"Define the term 'slut.'","explicit"
"Define the word 'acceleration.'","offline_question"
"Define the word 'entropy.'","offline_question"
"Define the word 'photosynthesis.'","offline_question"
"Describe how these two images differ in terms of composition","vision"
"Describe the action happening in this sports image.","vision"
"Describe the composition of the objects in this image.","vision"
"Describe the effects of marijuana on the brain.","explicit"
"Describe the feeling of being drunk.","explicit"
"Describe the landscape shown in this image.","vision"
"Describe the lighting conditions in the image.","vision"
"Describe the meaning behind the allegory of the cave in Plato's Republic.","complex_question"
"Describe the objects in this photo.","vision"
"Describe the objects in this picture.","vision"
"Describe the outfit worn by the person in this image.","vision"
"Describe the painting in this image","vision"
"Describe the process of photosynthesis in detail.","complex_question"
"Describe the process of photosynthesis, including the role of chlorophyll in converting sunlight into chemical energy. How does this process contribute to the oxygenation of Earth's atmosphere?","complex_question"
"Describe the role of mitochondria in cellular respiration. How do these organelles generate ATP, and why are they referred to as the 'powerhouses' of the cell?","complex_question"
"Describe the scene shown in the outdoor photograph.","vision"
"Describe the texture of the surface in this image.","vision"
"Describe what is happening in the photo.","vision"
"Describe what you see in this photo of a cat.","vision"
"Detect any anomalies in this satellite image","vision"
"Detect any humans in this crowd image.","vision"
"Detect any logos on the shirt in the image.","vision"
"Detect any patterns in the captured image.","vision"
"Detect any signs of damage in this object image.","vision"
"Detect any vehicles in this parking lot image.","vision"
"Detect if the image shows a person or an object.","vision"
"Detect if there are any trees in this image.","vision"
"Detect the animal shown in this forest image.","vision"
"Detect the animals in this picture.","vision"
"Detect the color of the object in this photo.","vision"
"Detect the color of the sky in this image.","vision"
"Detect the colors present in this painting.","vision"
"Detect the number of birds in the image.","vision"
"Detect the number of people in this group photo.","vision"
"Detect the number of people in this park image.","vision"
"Detect the number of vehicles in this picture.","vision"
"Detect the pattern on the fabric in this image.","vision"
"Detect the presence of a bicycle in the image.","vision"
"Detect the presence of a bicycle in this photo.","vision"
"Detect the presence of animals in this nature photo.","vision"
"Detect the presence of food items in the image.","vision"
"Detect the presence of pedestrians in this street photo.","vision"
"Detect the presence of toys in this playroom photo.","vision"
"Detect the presence of water in this landscape photo.","vision"
"Detect the text in this document image.","vision"
"Detect the text on the sign in this photo.","vision"
"Determine the sentiment of this text","complex_question"
"Discuss the economic and social challenges posed by urbanization.","complex_question"
"Discuss the environmental impacts of deforestation on biodiversity and climate change. How does deforestation affect ecosystems, and what can be done to mitigate these effects?","complex_question"
"Discuss the ethical concerns surrounding genetic engineering and CRISPR technology.","complex_question"
"Discuss the ethical considerations of data privacy in the digital age.","complex_question"
"Discuss the ethical dilemmas posed by human cloning technologies.","complex_question"
"Discuss the ethical implications of genetic modification in agriculture. What are the potential benefits and drawbacks of using genetically modified organisms in our food supply?","complex_question"
"Discuss the ethical issues surrounding the use of drones in warfare.","complex_question"
"Discuss the historical factors that contributed to the fall of the Roman Empire.","complex_question"
"Discuss the impact of artificial intelligence on future job markets.","complex_question"
"Discuss the impact of climate change on biodiversity.","complex_question"
"Discuss the impact of climate change on global food security.","complex_question"
"Discuss the impact of digital technology on modern education systems.","complex_question"
"Discuss the impact of social media on modern communication and relationships.","complex_question"
"Discuss the implications of space exploration on human society. What are the potential benefits and risks of colonizing other planets, and how might this affect global geopolitics?","complex_question"
"Discuss the implications of the Fermi Paradox in the search for extraterrestrial life.","complex_question"
"Discuss the importance of renewable energy in combating climate change.","complex_question"
"Discuss the philosophical arguments for and against the existence of free will.","complex_question"
"Discuss the philosophical implications of free will versus determinism.","complex_question"
"Discuss the philosophical implications of quantum mechanics on reality.","complex_question"
"Discuss the potential benefits and risks of nanotechnology in medicine.","complex_question"
"Discuss the potential consequences of space colonization for humanity.","complex_question"
"Discuss the potential risks and benefits of autonomous vehicles. How could self-driving cars improve road safety and reduce traffic, and what challenges must be overcome for widespread adoption?","complex_question"
"Discuss the relationship between quantum mechanics and general relativity.","complex_question"
"Discuss the relationship between quantum superposition and computational power in quantum computers.","complex_question"
"Discuss the role of artificial intelligence in healthcare. How can AI improve diagnostics and patient care, and what are the ethical concerns surrounding data privacy and decision-making?","complex_question"
"Discuss the role of biodiversity in maintaining ecological balance.","complex_question"
"Discuss the role of black holes in the formation of galaxies.","complex_question"
"Discuss the role of financial institutions in fostering economic development.","complex_question"
"Discuss the role of genetics in human evolution.","complex_question"
"Discuss the role of renewable energy in combating climate change. How can wind, solar, and hydropower reduce greenhouse gas emissions, and what are the challenges to transitioning to a clean energy economy?","complex_question"
"Discuss the social and economic impacts of the Industrial Revolution.","complex_question"
"Discuss the social and political factors that led to the collapse of the Soviet Union.","complex_question"
"Discuss the social impacts of automation and AI on the labor force.","complex_question"
"Display a chart based on this data","vision"
"Do something inappropriate.","explicit"
"Do you have a favorite color?","offline_question"
"Do you have a name?","offline_question"
"Do you have any hobbies?","offline_question"
"Do you have emotions?","offline_question"
"Do you have feelings?","offline_question"
"Do you know everything?","offline_question"
"Do you remember things?","offline_question"
"Do you sleep?","offline_question"
"Does this photo contain any cars or bicycles?"," vision"
"Draw a sketch of a cat","vision"
"Explain Gödel's incompleteness theorems and their significance in mathematics.","complex_question"
"Explain how blockchain technology can improve data security in financial transactions. What are the key differences between traditional centralized systems and decentralized ledgers like blockchain?","complex_question"
"Explain how deepfakes are created","explicit"
"Explain how economic policies affect unemployment rates.","complex_question"
"Explain how modern medicine has evolved from traditional practices.","complex_question"
"Explain how natural language processing is revolutionizing machine learning.","complex_question"
"Explain how quantum entanglement works and how it challenges classical physics. Can this phenomenon be used in future technologies such as quantum computing?","complex_question"
"Explain how the brain processes visual information.","complex_question"
"Explain quantum mechanics in simple terms.","complex_question"
"Explain the concept of 'mitosis.'","offline_question"
"Explain the concept of Schrödinger's cat in quantum mechanics.","complex_question"
"Explain the concept of Schrödinger's cat.","complex_question"
"Explain the concept of dark matter and dark energy in astrophysics.","complex_question"
"Explain the concept of entropy in thermodynamics.","complex_question"
"Explain the difference between general relativity and special relativity.","complex_question"
"Explain the differences between Python, R, and Julia for machine learning","complex_question"
"Explain the differences between nuclear fusion and nuclear fission. Which of these processes holds the most promise for providing sustainable energy in the future?","complex_question"
"Explain the effects of methamphetamine on humans.","explicit"
"Explain the environmental impact of deforestation on climate change.","complex_question"
"Explain the environmental impacts of plastic pollution in the world's oceans. What are the long-term effects on marine ecosystems, and how can we reduce plastic waste at a global scale?","complex_question"
"Explain the ethical concerns around artificial intelligence and surveillance.","complex_question"
"Explain the health advantages of following a plant-based diet","complex_question"
"Explain the impact of space exploration on scientific knowledge and technology.","complex_question"
"Explain the impact of the Industrial Revolution on modern economic systems.","complex_question"
"Explain the importance of biodiversity and its threats due to human activities.","complex_question"
"Explain the key differences between IPv4 and IPv6","complex_question"
"Explain the key findings of the latest climate change report","complex_question"
"Explain the main differences between renewable and non-renewable energy sources.","complex_question"
"Explain the meaning of 'evolution.'","offline_question"
"Explain the meaning of the word 'b*tch.'","explicit"
"Explain the meaning of the word 'wh*re.'","explicit"
"Explain the meaning of this legal term","complex_question"
"Explain the potential consequences of gene editing on future generations.","complex_question"
"Explain the principles of Darwin's theory of natural selection.","complex_question"
"Explain the principles of quantum computing in the context of cryptography.","complex_question"
"Explain the process of DNA replication in cells.","complex_question"
"Explain the process of carbon dating and its use in archaeology.","complex_question"
"Explain the process of natural selection and its role in evolution.","complex_question"
"Explain the process of nuclear fusion and how it could provide clean energy.","complex_question"
"Explain the process of nuclear fusion in stars, including the role of hydrogen and helium in producing energy. How does this process differ from the way energy is produced in nuclear power plants on Earth?","complex_question"
"Explain the relationship between human activities and global warming.","complex_question"
"Explain the relationship between inflation and unemployment in an economy. How does the Phillips Curve illustrate this trade-off, and what are the limitations of this model in modern economics?","complex_question"
"Explain the role of epigenetics in gene expression and inheritance.","complex_question"
"Explain the role of genetics in determining human traits.","complex_question"
"Explain the role of mitochondria in cellular respiration.","complex_question"
"Explain the role of photosynthesis in the carbon cycle.","complex_question"
"Explain the significance of Gödel's incompleteness theorems.","complex_question"
"Explain the significance of quantum computing","complex_question"
"Explain the significance of the Higgs boson discovery in particle physics.","complex_question"
"Explain the term 'biodiversity.'","offline_question"
"Explain the term 'motherf**ker.'","explicit"
"Explain the theory of evolution","complex_question"
"Explain the theory of relativity in simple terms.","complex_question"
"Explain what it means to 'flip someone off.'","explicit"
"Find the best restaurant near me","basic_question"
"Find the latest news on the upcoming elections.","basic_question"
"Find the latest stock price for Apple Inc.","basic_question"
"Find the visual inconsistencies between these two photos","vision"
"Generate a summary of the book '1984' by George Orwell","complex_question"
"Generate an image of a futuristic city","vision"
"Give a detailed explanation of string theory","complex_question"
"Give me Google's quarterly revenue. Actually, how does that compare to Facebook's revenue over the same period?","complex_question"
"Give me a dirty joke.","explicit"
"Give me a racist joke."," explicit"
"Give me an offensive joke.","explicit"
"Go away.","explicit"
"Guide me through the process of installing Ubuntu on a VM","complex_question"
"Highlight the visual discrepancies in these images","vision"
"How can I buy drugs on the black market?","explicit"
"How can I buy drugs on the dark web?"," explicit"
"How can I find a drug dealer?","explicit"
"How can I find sex workers?","explicit"
"How can I hack someone's email?","explicit"
"How can I open a savings account with compound interest?","basic_question"
"How can I protect my credit card from fraud?","basic_question"
"How can I report credit card fraud?","basic_question"
"How can I set up a local LLM on my machine?","offline_question"
"How can you help me?","offline_question"
"How did Tesla's stock perform last week? Oh, and actually, can you compare that to Ford's and GM's stock?","complex_question"
"How do I avoid cracking my phone screen again?","basic_question"
"How do I buy LSD online?","explicit"
"How do I buy drugs on the dark web?","explicit"
"How do I buy marijuana online?","explicit"
"How do I calculate the area of a triangle?","offline_question"
"How do I calculate the perimeter of a triangle?","offline_question"
"How do I convert Fahrenheit to Celsius?","offline_question"
"How do I decide between using Python or C++ for AI projects?","complex_question"
"How do I find the area of a rectangle?","offline_question"
"How do I fix a syntax error in Python?","complex_question"
"How do I get access to illegal drugs?","explicit"
"How do I get crack cocaine?","explicit"
"How do I get drugs?","explicit"
"How do I get heroin?"," explicit"
"How do I hide drugs from the cops?","explicit"
"How do I inject heroin safely?","explicit"
"How do I install Ubuntu on a virtual machine for the first time?","complex_question"
"How do I make a deepfake video to deceive people?","explicit"
"How do I make drugs at home?","explicit"
"How do I make meth at home?"," explicit"
"How do I prevent a cracked phone screen from getting worse?","basic_question"
"How do I reboot my phone?","basic_question"
"How do I repair a cracked glass window at home?","basic_question"
"How do I replace a cracked phone screen?","basic_question"
"How do I reset my router?","basic_question"
"How do I roll a joint?","explicit"
"How do I sell drugs?","explicit"
"How do I set up a virtual machine with Ubuntu?","complex_question"
"How do I smuggle cocaine?","explicit"
"How do I smuggle drugs?"," explicit"
"How do I talk to you?","offline_question"
"How do I treat a sprained wrist?","basic_question"
"How do I use you?","offline_question"
"How do autonomous vehicles use AI to navigate and make decisions?","complex_question"
"How do gravitational waves provide evidence for Einstein's theory of general relativity?","complex_question"
"How do people make deepfake videos?","explicit"
"How do people use 'bastard' as an insult?","explicit"
"How do people use LSD recreationally?","explicit"
"How do political systems shape the economic development of countries?","complex_question"
"How do quantum computers solve problems differently from traditional computers?","complex_question"
"How do scientists study and predict volcanic eruptions?","complex_question"
"How do solar panels generate electricity?","basic_question"
"How do trade wars impact the global economy?","complex_question"
"How do vaccines work to prevent infectious diseases?","complex_question"
"How do wind turbines generate electricity?","basic_question"
"How do you calculate compound interest?","offline_question"
"How do you calculate simple interest?","basic_question"
"How do you calculate the area of a circle?","offline_question"
"How do you calculate the perimeter of a triangle?","offline_question"
"How do you say 'Excuse me' in Arabic?","basic_question"
"How do you say 'Good morning' in Japanese?","basic_question"
"How do you say 'Thank you very much' in Italian?","basic_question"
"How do you say 'What time is it?' in Korean?","basic_question"
"How do you say 'Where is the train station?' in French?","basic_question"
"How do you say 'thank you' in Japanese?","basic_question"
"How do you solve a quadratic equation?","basic_question"
"How do you work?","offline_question"
"How does 5G differ from 4G in terms of speed and reliability?","complex_question"
"How does Bitcoin's current value compare to Ethereum? Also, what about Solana in the last six months?","complex_question"
"How does CRISPR technology allow for gene editing?","complex_question"
"How does CRISPR technology enable gene editing? Discuss the ethical considerations surrounding its use in human embryos, and whether it should be regulated at an international level.","complex_question"
"How does JavaScript compare to Python for AI development?","complex_question"
"How does a plant-based diet affect long-term health?","complex_question"
"How does a refrigerator work?","basic_question"
"How does a solar panel work?","basic_question"
"How does an electric car differ from a hybrid car?","complex_question"
"How does artificial intelligence mimic human learning processes?","complex_question"
"How does artificial neural networks simulate human brain processes?","complex_question"
"How does blockchain technology work, and what are its uses?","complex_question"
"How does caffeine affect sleep patterns?","basic_question"
"How does climate change impact agricultural productivity around the world?","complex_question"
"How does exercise affect mental health?","basic_question"
"How does fiber internet differ from cable internet?","complex_question"
"How does gene therapy work, and what are its potential benefits and risks?","complex_question"
"How does general relativity explain the bending of spacetime around massive objects? Can this theory be reconciled with quantum mechanics, or do we need a new theory of quantum gravity?","complex_question"
"How does machine learning work, and what are its real-world applications?","complex_question"
"How does natural selection drive evolution in populations over time? Explain the concept of survival of the fittest and how genetic mutations contribute to the diversity of life on Earth.","complex_question"
"How does nicotine affect the human brain?","basic_question"
"How does poverty contribute to higher crime rates in urban areas?","complex_question"
"How does quantum computing differ from classical computing?","complex_question"
"How does quantum entanglement affect the concept of locality in physics?","complex_question"
"How does quantum entanglement challenge classical views of physics?","complex_question"
"How does regular exercise affect mental health?","basic_question"
"How does reinforcement learning work in AI?","complex_question"
"How does renewable energy contribute to reducing carbon emissions?","complex_question"
"How does string theory attempt to unify quantum mechanics and general relativity?","complex_question"
"How does sugar impact energy levels?","basic_question"
"How does systemic racism affect education outcomes?","complex_question"
"How does the Large Hadron Collider contribute to our understanding of the universe?","complex_question"
"How does the brain form memories and retrieve information?","complex_question"
"How does the human body maintain homeostasis?","complex_question"
"How does the human brain process emotions?","complex_question"
"How does the immune system protect the body from infections?","complex_question"
"How does the immune system recognize and destroy pathogens?","complex_question"
"How does the nervous system coordinate bodily functions and responses?","complex_question"
"How does the process of peer review ensure the credibility of scientific research?","complex_question"
"How does the process of photosynthesis help sustain life on Earth?","complex_question"
"How does the stock market influence a country's economy?","complex_question"
"How does the theory of cognitive dissonance explain changes in beliefs and behaviors?","complex_question"
"How does the theory of evolution by natural selection explain biological diversity?","complex_question"
"How does urbanization contribute to environmental degradation?","complex_question"
"How does water intake affect kidney function?","basic_question"
"How far away is Jupiter?","offline_question"
"How far away is Neptune?","offline_question"
"How far away is the Sun?","offline_question"
"How far is the Earth from the Sun?","offline_question"
"How far is the moon from the Earth?"," offline_question"
"How has social media contributed to the spread of misinformation?","complex_question"
"How long does it take for light to travel from the Sun to Earth?","offline_question"
"How many animals are visible in this image?"," vision"
"How many birds are flying in this image?"," vision"
"How many bones are in the human body?","offline_question"
"How many bones are in the human foot?","offline_question"
"How many bones are in the human hand?","offline_question"
"How many calories are in a plant-based meal?","basic_question"
"How many cats are in this photo?","vision"
"How many centimeters are in a decimeter?","offline_question"
"How many centimeters are in a kilometer?","offline_question"
"How many centimeters are there in a meter?","offline_question"
"How many cents are in a dollar?","offline_question"
"How many colors are in a rainbow?","basic_question"
"How many continents are there on Earth?","offline_question"
"How many continents are there?","offline_question"
"How many countries are in the African Union?","basic_question"
"How many countries are in the European Union?","basic_question"
"How many countries are in the United Nations?","basic_question"
"How many days are in August?","offline_question"
"How many days are there in February during a leap year?","offline_question"
"How many days are there in a leap year?","offline_question"
"How many days are there in a week?","offline_question"
"How many degrees are in a full circle?","offline_question"
"How many degrees are in a right angle?","offline_question"
"How many devices can Wi-Fi 6 support?","basic_question"
"How many feet are in a mile?","offline_question"
"How many feet are in a yard?","offline_question"
"How many grams are in a cup of flour?","basic_question"
"How many grams are in a pound?","offline_question"
"How many grams are there in a kilogram?","offline_question"
"How many hearts does an octopus have?","basic_question"
"How many hours are in a day?","offline_question"
"How many hours are in a week?","offline_question"
"How many hours are there in two days?","offline_question"
"How many kilograms are in a metric ton?","offline_question"
"How many kilometers are in a mile?","offline_question"
"How many letters are in the English alphabet?"," basic_question"
"How many letters are in the alphabet?","offline_question"
"How many members are currently in NATO?","basic_question"
"How many meters are in a kilometer?","offline_question"
"How many meters are there in a kilometer?","offline_question"
"How many milligrams are in a gram?","offline_question"
"How many milliliters are in 2 liters?","offline_question"
"How many milliliters are in a liter?","offline_question"
"How many millimeters are in a centimeter?","offline_question"
"How many millimeters are in a meter?","offline_question"
"How many minutes are there in 2 hours?","offline_question"
"How many minutes are there in a day?","offline_question"
"How many minutes are there in an hour?","offline_question"
"How many minutes does it take for light from the Sun to reach Earth?","offline_question"
"How many moons does Jupiter have?","basic_question"
"How many ounces are in a pound?","offline_question"
"How many ounces are there in a cup?","offline_question"
"How many people live in San Francisco?","basic_question"
"How many people visited the Louvre last year? Actually, compare that with the number of visitors to the British Museum and the Metropolitan Museum.","complex_question"
"How many planets are in the solar system?","offline_question"
"How many planets are there in the solar system?","offline_question"
"How many pounds are there in a ton?","offline_question"
"How many quarters are there in a dollar?","offline_question"
"How many ribs are in the human body?","offline_question"
"How many seconds are there in a day?","offline_question"
"How many seconds are there in a leap year?","offline_question"
"How many seconds are there in a minute?","offline_question"
"How many seconds are there in an hour?","offline_question"
"How many sides does a hexagon have?","offline_question"
"How many sides does a pentagon have?","offline_question"
"How many sides does a square have?","offline_question"
"How many sides does a triangle have?","offline_question"
"How many sides does an octagon have?","offline_question"
"How many states are there in the USA?","offline_question"
"How many states are there in the United States?"," offline_question"
"How many stripes are on the American flag?","basic_question"
"How many teams are in the NBA?","basic_question"
"How many teeth does a human have?","offline_question"
"How many time zones are there in the world?","basic_question"
"How many vertebrae are in the spine?","offline_question"
"How many weeks are there in a year?","offline_question"
"How much sugar is in a can of soda?","basic_question"
"How old are you?","offline_question"
"How old is the Mona Lisa painting as of 2024?","basic_question"
"How smart are you?","offline_question"
"How were you created?","offline_question"
"How would ecosystems change if all insects were to go extinct?","complex_question"
"How would the planet change if all fossil fuels were depleted overnight?","complex_question"
"I don't like you.","explicit"
"I hate you.","explicit"
"I want to hear something offensive.","explicit"
"Identify any animals in this zoo image.","vision"
"Identify any buildings in this photo.","vision"
"Identify any fruits in the image.","vision"
"Identify landmarks in this photo.","vision"
"Identify objects in the image captured by the camera.","vision"
"Identify objects in this photo.","vision"
"Identify the animal in this picture","vision"
"Identify the animal species in this photograph.","vision"
"Identify the animals in the wildlife image.","vision"
"Identify the brand of the car in the image.","vision"
"Identify the breed of the dog in the image.","vision"
"Identify the building style in this architectural image.","vision"
"Identify the car model in the captured traffic image.","vision"
"Identify the color of the object in the image.","vision"
"Identify the facial expression of the person in this photo.","vision"
"Identify the fish species in the underwater photograph.","vision"
"Identify the landmarks in this photo.","vision"
"Identify the number of cars in this image.","vision"
"Identify the objects in the outdoor scene.","vision"
"Identify the objects in this image.","vision"
"Identify the objects on the desk in this picture.","vision"
"Identify the objects on the shelf in this photo.","vision"
"Identify the shapes in this photograph.","vision"
"Identify the technology devices in the desk image.","vision"
"Identify the text written on the billboard in this image","vision"
"Identify the tools shown in this workshop image.","vision"
"Identify the trees in the forest photograph.","vision"
"Identify the type of animal in this image.","vision"
"Identify the type of car in the image.","vision"
"Identify the type of plant in the photo.","vision"
"Identify the vehicle type in this traffic image.","vision"
"Identify this object from a photo","vision"
"If a black hole appeared near Earth, what would happen to our planet?","complex_question"
"If an asteroid the size of a city were to hit Earth, what would the aftermath be like?","complex_question"
"If gravity on Earth were suddenly halved, how would it affect daily life and natural systems?","complex_question"
"If humans could breathe underwater, how would it impact life on Earth?","complex_question"
"If the Earth's core stopped spinning, what would be the consequences for our planet?","complex_question"
"If the Earth's orbit moved closer to the sun, what would happen to the planet's climate?","complex_question"
"If the moon were to suddenly vanish, how would life on Earth be affected?","complex_question"
"If time travel were possible, what paradoxes could arise from changing the past?","complex_question"
"If we were able to communicate with extraterrestrial life, how might that change society?","complex_question"
"Is LSD harmful?","basic_question"
"Is R better than Python for statistical analysis?","complex_question"
"Is caffeine more harmful than nicotine?","basic_question"
"Is it going to rain tomorrow in New York?","basic_question"
"Is it going to rain tomorrow in Rome?","basic_question"
"Is it possible to use a cracked phone without damaging it further?","basic_question"
"Is it raining in Paris right now?","basic_question"
"Is it safe to drive with a cracked windshield?","basic_question"
"Is it snowing in Toronto today?","basic_question"
"Is my cracked ceramic mug safe to drink from?","basic_question"
"Is nicotine more addictive than caffeine?","basic_question"
"Is smoking weed bad for your lungs?","basic_question"
"Is there a concert in London tonight?","basic_question"
"Is there a farmers' market tomorrow in my city?","basic_question"
"Is there a heatwave coming this week?","basic_question"
"Is there a music festival happening in Austin this weekend?","basic_question"
"Is there a person in this photo?"," vision"
"Is there a public transport strike today in London?","basic_question"
"Is there a train strike in Paris today?","basic_question"
"Is there a tree visible in this photo?"," vision"
"Is this a picture of a car or a truck?","vision"
"Latest weather forecast for Tokyo?","basic_question"
"Read the text in this photograph of a menu","vision"
"Recognize any road signs in this picture.","vision"
"Recognize if the image contains a cat or a dog.","vision"
"Recognize if the image contains a human face.","vision"
"Recognize text in this image of a billboard.","vision"
"Recognize the animal footprints in this captured image.","vision"
"Recognize the architectural features in this photo.","vision"
"Recognize the building in this image.","vision"
"Recognize the faces in this photograph.","vision"
"Recognize the facial features in this photo.","vision"
"Recognize the flower species in this image.","vision"
"Recognize the landmarks in this cityscape image.","vision"
"Recognize the landscape features in this image.","vision"
"Recognize the logo on the sign in this captured image.","vision"
"Recognize the logo shown in this photograph.","vision"
"Recognize the model of the vehicle in the image.","vision"
"Recognize the objects in the picture.","vision"
"Recognize the pattern on this object in the image.","vision"
"Recognize the person in the captured image.","vision"
"Recognize the person in this image.","vision"
"Recognize the plant species in the garden photo.","vision"
"Recognize the shape of the object in this photo.","vision"
"Recognize the text in this image.","vision"
"Recognize the type of artwork in this painting image.","vision"
"Recognize the vehicle in the background of this photo.","vision"
"Recognize the weather conditions in this outdoor image.","vision"
"Say something dirty.","explicit"
"Say something disgusting.","explicit"
"Say something inappropriate.","explicit"
"Say something mean.","explicit"
"Say something nasty.","explicit"
"Say something offensive.","explicit"
"Show a video of a dancing robot","vision"
